mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
54386050,20,20201,2021,12,2,0,43
54386050,20,20201,2021,12,2,1,37
54386050,20,20201,2021,12,2,2,44
54386052,20,20201,2021,12,0,0,34
54386052,20,20201,2021,12,2,0,10
54386057,20,20201,2021,12,0,0,51
54386057,20,20201,2021,12,0,2,40
54386057,20,20201,2021,12,1,0,23
54386057,20,20201,2021,12,1,2,21
54386057,20,20201,2021,12,2,0,30
54386057,20,20201,2021,12,2,2,26
54386058,20,20201,2021,12,0,0,884
54386058,20,20201,2021,12,0,1,1320
54386058,20,20201,2021,12,0,2,1155
54386058,20,20201,2021,12,1,0,574
54386058,20,20201,2021,12,1,1,1139
54386058,20,20201,2021,12,1,2,875
54386058,20,20201,2021,12,2,0,654
54386058,20,20201,2021,12,2,1,1186
54386058,20,20201,2021,12,2,2,947
54386059,20,20201,2021,12,0,0,474
54386059,20,20201,2021,12,0,1,465
54386059,20,20201,2021,12,0,2,442
54386059,20,20201,2021,12,1,0,166
54386059,20,20201,2021,12,1,1,219
54386059,20,20201,2021,12,1,2,194
54386059,20,20201,2021,12,2,0,245
54386059,20,20201,2021,12,2,1,282
54386059,20,20201,2021,12,2,2,258
54386064,20,20201,2021,12,1,2,10
54386067,20,20201,2021,12,0,0,23
54386067,20,20201,2021,12,1,0,81
54386067,20,20201,2021,12,1,1,28
54386067,20,20201,2021,12,1,2,48
54386067,20,20201,2021,12,2,0,66
54386067,20,20201,2021,12,2,1,21
54386067,20,20201,2021,12,2,2,37
54386068,20,20201,2021,12,0,0,509
54386068,20,20201,2021,12,0,1,372
54386068,20,20201,2021,12,0,2,425
54386068,20,20201,2021,12,1,0,355
54386068,20,20201,2021,12,1,1,165
54386068,20,20201,2021,12,1,2,277
54386068,20,20201,2021,12,2,0,395
54386068,20,20201,2021,12,2,1,218
54386068,20,20201,2021,12,2,2,315
54386069,20,20201,2021,12,0,0,471
54386069,20,20201,2021,12,0,1,591
54386069,20,20201,2021,12,0,2,536
54386069,20,20201,2021,12,1,0,286
54386069,20,20201,2021,12,1,1,560
54386069,20,20201,2021,12,1,2,467
54386069,20,20201,2021,12,2,0,334
54386069,20,20201,2021,12,2,1,568
54386069,20,20201,2021,12,2,2,485
54386070,20,20201,2021,12,0,0,140
54386070,20,20201,2021,12,0,1,76
54386070,20,20201,2021,12,0,2,111
54386070,20,20201,2021,12,1,0,353
54386070,20,20201,2021,12,1,1,89
54386070,20,20201,2021,12,1,2,252
54386070,20,20201,2021,12,2,0,298
54386070,20,20201,2021,12,2,1,86
54386070,20,20201,2021,12,2,2,216
54386071,20,20201,2021,12,0,0,139
54386071,20,20201,2021,12,0,1,335
54386071,20,20201,2021,12,0,2,245
54386071,20,20201,2021,12,1,0,22
54386071,20,20201,2021,12,1,1,291
54386071,20,20201,2021,12,1,2,169
54386071,20,20201,2021,12,2,0,52
54386071,20,20201,2021,12,2,1,302
54386071,20,20201,2021,12,2,2,188
54386076,20,20201,2021,12,1,0,24
54386076,20,20201,2021,12,1,2,16
54386076,20,20201,2021,12,2,0,20
54386076,20,20201,2021,12,2,2,13
54386077,20,20201,2021,12,0,0,13
54386077,20,20201,2021,12,1,0,69
54386077,20,20201,2021,12,1,1,50
54386077,20,20201,2021,12,1,2,57
54386077,20,20201,2021,12,2,0,54
54386077,20,20201,2021,12,2,1,38
54386077,20,20201,2021,12,2,2,43
54386078,20,20201,2021,12,0,0,102
54386078,20,20201,2021,12,0,1,109
54386078,20,20201,2021,12,0,2,109
54386078,20,20201,2021,12,1,0,69
54386078,20,20201,2021,12,1,1,174
54386078,20,20201,2021,12,1,2,125
54386078,20,20201,2021,12,2,0,77
54386078,20,20201,2021,12,2,1,157
54386078,20,20201,2021,12,2,2,121
54386079,20,20201,2021,12,0,0,194
54386079,20,20201,2021,12,0,1,190
54386079,20,20201,2021,12,0,2,180
54386079,20,20201,2021,12,1,0,180
54386079,20,20201,2021,12,1,1,204
54386079,20,20201,2021,12,1,2,181
54386079,20,20201,2021,12,2,0,184
54386079,20,20201,2021,12,2,1,201
54386079,20,20201,2021,12,2,2,181
54386080,20,20201,2021,12,0,0,466
54386080,20,20201,2021,12,0,1,671
54386080,20,20201,2021,12,0,2,606
54386080,20,20201,2021,12,1,0,841
54386080,20,20201,2021,12,1,1,909
54386080,20,20201,2021,12,1,2,862
54386080,20,20201,2021,12,2,0,744
54386080,20,20201,2021,12,2,1,848
54386080,20,20201,2021,12,2,2,796
54386081,20,20201,2021,12,0,0,500
54386081,20,20201,2021,12,0,1,470
54386081,20,20201,2021,12,0,2,466
54386081,20,20201,2021,12,1,0,527
54386081,20,20201,2021,12,1,1,484
54386081,20,20201,2021,12,1,2,504
54386081,20,20201,2021,12,2,0,520
54386081,20,20201,2021,12,2,1,480
54386081,20,20201,2021,12,2,2,494
54386082,20,20201,2021,12,0,0,17
54386082,20,20201,2021,12,0,1,36
54386082,20,20201,2021,12,0,2,22
54386082,20,20201,2021,12,1,0,61
54386082,20,20201,2021,12,1,2,25
54386082,20,20201,2021,12,2,0,50
54386082,20,20201,2021,12,2,1,10
54386082,20,20201,2021,12,2,2,24
54386083,20,20201,2021,12,0,0,27
54386083,20,20201,2021,12,0,2,14
54386083,20,20201,2021,12,1,0,61
54386083,20,20201,2021,12,1,1,12
54386083,20,20201,2021,12,1,2,34
54386083,20,20201,2021,12,2,0,52
54386083,20,20201,2021,12,2,2,29
54386084,20,20201,2021,12,0,0,19
54386084,20,20201,2021,12,1,0,17
54386084,20,20201,2021,12,1,1,24
54386084,20,20201,2021,12,1,2,21
54386084,20,20201,2021,12,2,0,18
54386084,20,20201,2021,12,2,1,18
54386084,20,20201,2021,12,2,2,18
54386085,20,20201,2021,12,1,0,39
54386085,20,20201,2021,12,1,1,20
54386085,20,20201,2021,12,1,2,30
54386085,20,20201,2021,12,2,0,32
54386085,20,20201,2021,12,2,1,15
54386085,20,20201,2021,12,2,2,23
54386087,20,20201,2021,12,0,0,80
54386087,20,20201,2021,12,0,1,76
54386087,20,20201,2021,12,0,2,72
54386087,20,20201,2021,12,1,0,18
54386087,20,20201,2021,12,1,1,59
54386087,20,20201,2021,12,1,2,42
54386087,20,20201,2021,12,2,0,34
54386087,20,20201,2021,12,2,1,63
54386087,20,20201,2021,12,2,2,50
54386089,20,20201,2021,12,0,0,299
54386089,20,20201,2021,12,0,1,266
54386089,20,20201,2021,12,0,2,294
54386089,20,20201,2021,12,1,0,273
54386089,20,20201,2021,12,1,1,272
54386089,20,20201,2021,12,1,2,277
54386089,20,20201,2021,12,2,0,279
54386089,20,20201,2021,12,2,1,270
54386089,20,20201,2021,12,2,2,281
54386090,20,20201,2021,12,1,0,14
54386090,20,20201,2021,12,2,0,10
54386091,20,20201,2021,12,1,0,15
54386091,20,20201,2021,12,2,0,12
54386094,20,20201,2021,12,0,0,79
54386094,20,20201,2021,12,0,1,36
54386094,20,20201,2021,12,0,2,38
54386094,20,20201,2021,12,1,0,49
54386094,20,20201,2021,12,1,2,17
54386094,20,20201,2021,12,2,0,57
54386094,20,20201,2021,12,2,1,10
54386094,20,20201,2021,12,2,2,23
54386097,20,20201,2021,12,0,0,299
54386097,20,20201,2021,12,0,1,151
54386097,20,20201,2021,12,0,2,213
54386097,20,20201,2021,12,1,0,278
54386097,20,20201,2021,12,1,1,158
54386097,20,20201,2021,12,1,2,203
54386097,20,20201,2021,12,2,0,283
54386097,20,20201,2021,12,2,1,156
54386097,20,20201,2021,12,2,2,205
54386098,20,20201,2021,12,0,1,36
54386098,20,20201,2021,12,0,2,18
54386099,20,20201,2021,12,0,0,313
54386099,20,20201,2021,12,0,1,301
54386099,20,20201,2021,12,0,2,306
54386099,20,20201,2021,12,1,0,291
54386099,20,20201,2021,12,1,1,259
54386099,20,20201,2021,12,1,2,273
54386099,20,20201,2021,12,2,0,296
54386099,20,20201,2021,12,2,1,270
54386099,20,20201,2021,12,2,2,282
54386128,20,20201,2021,12,0,0,48
54386128,20,20201,2021,12,0,2,19
54386128,20,20201,2021,12,1,0,18
54386128,20,20201,2021,12,1,1,12
54386128,20,20201,2021,12,1,2,13
54386128,20,20201,2021,12,2,0,26
