prefecture,city,number,address,name,lat,long,note
長野県,小諸市,12-9,大久保2204-3,宮崎富美宏宅畑,36.3247351,138.3778716,
長野県,小諸市,13-1,山浦2854-2,掛川幸雄宅前,36.3205256,138.4115161,
長野県,小諸市,13-2,山浦2109-1,依田和子宅前右側,36.3178275,138.4143916,緯度経度は怪しい
長野県,小諸市,13-3,山浦1272-2,久保公民館東側道沿い,36.3073733,138.4159374,
長野県,小諸市,13-4,山浦1771,薬師堂道向放送室隣,36.3102173,138.4179236,
長野県,小諸市,13-5,山浦656-1,大杭区研修センター精米所前,36.3006264,138.4171138,
長野県,小諸市,13-6,山浦769,山浦芳康宅壁,36.3050168,138.406305,緯度経度は怪しい
長野県,小諸市,13-7,山浦284-1,宮沢区研修センターガードレール,36.2944287,138.4195436,緯度経度は怪しい
長野県,小諸市,13-8,山浦60-1,坂口丈夫宅前清水睦夫畑,36.2937659,138.4214563,緯度経度は怪しい
長野県,小諸市,14-1,市479-1,柳沢正直旧宅地跡,36.2862698,138.4425254,
長野県,小諸市,14-2,市172-2,市区集会所駐車場横の畑,36.2904172,138.4462495,緯度経度は怪しい
長野県,小諸市,14-3,市103-3,関本徳宅横,36.2868047,138.4373336,
長野県,小諸市,15-1,耳取988-8,旧三岡郵便局北側,36.290621,138.4401117,
長野県,小諸市,15-2,耳取2323-1,耳取区公民館西側駐車場,36.2888568,138.4212808,緯度経度は怪しい
長野県,小諸市,15-3,耳取2003-1,弥美登里神社入口東,36.2863715,138.4237386,緯度経度は怪しい
長野県,小諸市,15-4,耳取741-3,皿掛バス停留所,36.2913335,138.4274361,緯度経度は怪しい
長野県,小諸市,16-1,森山63-12,三岡駅市営駐輪場内フェンス,36.3043066,138.4475689,
長野県,小諸市,16-2,森山884-10,清水和正宅倉庫裏,36.2969412,138.4393877,
長野県,小諸市,16-3,森山737-1,森山多目的共同利用施設,36.299174,138.436968,
長野県,小諸市,16-4,森山525-1,金井キミ江宅向いの道路沿い,36.2977687,138.4302917,
長野県,小諸市,17-1,御影新田954-1,塚田栄次宅畑,36.3042738,138.4769453,
長野県,小諸市,17-2,御影新田896-1,御影陣屋掲示板の横,36.3028208,138.473236,
長野県,小諸市,17-3,御影新田799-1,塩川利雄宅ブロック塀,36.3023013,138.4708498,
長野県,小諸市,17-4,御影新田2121-62,県営池ノ前団地処理場フェンス,36.303822,138.4659646,
長野県,小諸市,17-5,御影新田2339-1,池ノ前公民館,36.3001781,138.4649425,
長野県,小諸市,17-6,御影新田2505-23,おはなし広場看板道向い北側,36.3019577,138.4691685,緯度経度は怪しい
長野県,小諸市,17-7,御影新田2486-2,コミュニティセンター掲示板横,36.2994983,138.4577038,
長野県,小諸市,18-1,平原1687-1,林建夫所有空地,36.3123708,138.4662327,緯度経度は怪しい
長野県,小諸市,18-2,平原1889,南沢和宏宅物置前,36.3123708,138.4662327,緯度経度は怪しい
長野県,小諸市,18-3,平原2065-1,舟田圭介宅物置側入口横,36.3125185,138.4651885,
長野県,小諸市,18-4,平原741-1,平原公園西側フェンス,36.3123708,138.4662327,緯度経度は怪しい
長野県,小諸市,19-1,和田971-39,和田区研修センターフェンス,36.2948553,138.4580689,
長野県,小諸市,19-2,和田853-10,和田区遊園地南堺,36.2946724,138.4614594,
長野県,小諸市,19-3,和田910-1,和田区東側公園,36.2901392,138.4562402,緯度経度は怪しい
長野県,小諸市,19-4,和田693-4,旧和田区公民館敷地,36.2908175,138.4582589,
長野県,小諸市,20-1,御影新田1904-1,柏木シゲ子宅畑,36.3019577,138.4691685,緯度経度は怪しい
長野県,小諸市,20-2,御影新田1673-1,柏木正直宅畑,36.3019577,138.4691685,緯度経度は怪しい
長野県,小諸市,20-3,御影新田1632-1,一ツ谷区公民館南側畑,36.3063956,138.4521034,
長野県,小諸市,21-1,滋野甲736-1,(有)浅間製作所擁壁,36.3468777,138.3901423,
長野県,小諸市,21-2,滋野甲966-1,精米所西側,36.3418117,138.3844475,緯度経度は怪しい
長野県,小諸市,21-3,滋野甲912-4,芝生田区公民館常設掲示板,36.3514549,138.3938283,緯度経度は怪しい
長野県,小諸市,21-4,滋野甲379,新家池バス停の隣,36.3514549,138.3938283,緯度経度は怪しい
長野県,小諸市,21-5,滋野甲3728-1,井子多目的集会施設,36.3575355,138.3916,
長野県,小諸市,21-6,滋野甲3076-15,旧農協出荷所,36.3585334,138.3881185,
長野県,小諸市,21-7,滋野甲4162-31,小田中真宅,36.3585913,138.4019597,緯度経度は怪しい
長野県,小諸市,21-8,滋野甲4083-3,糠地区公民館,36.3624977,138.4005272,
